URL;"ETA Number";Version;"Date of issue";"Trade Name";"Generic type and use";"Holder of assesment";"Holder Address";"Holder Postal Code";"Holder City";"Holder Country";"Issuing TAB";"Reference number";"EU Decisioin number(OJEU)";System
https://www.eota.eu/etassessments/7112;03/0020;1;16/05/2018;"Triflex ProTect";"Liquid applied roof waterproofing kit used as an EAD";"Triflex GmbH & Co. KG";"Karlstraße 59";32423;Minden;Germany;DIBt;"ETAG 005 used as EAD";1998/0599/EC
https://www.eota.eu/etassessments/15845;03/0022;2;07/11/2022;"Baumit Wärmedämmverbundsystem ECO, Baumit WDVS ECO";"External thermal insulation composite systems (ETICS) with renderings";"Baumit Beteiligungen GmbH";"Wopfing 156";A-2754;Waldegg;Austria;OIB;"EAD 040083-00-0404";1997/0556/EC;"1, 2+"
https://www.eota.eu/etassessments/8096;03/0023;1;27/06/2018;"Baumit open air- Die KlimaSchutzFassade, Baumit WDVS Open, Baumit Openn system";"External Thermal Composite Systems with rendering used as an EAD";"Baumit Beteiligungen GmbH";"Wopfing 156";A-2754;Waldegg;Austria;OIB;"ETAG 004 used as EAD";1997/0556/EC;"1, 2+"
https://www.eota.eu/etassessments/4560;03/0025;1;25/04/2017;"Roof waterproofing ""KEMPEROL V 210"",Roof waterproofing ""TRIXSEL V 210""";"Liquid applied waterproofing kits used as an EAD";"KEMPER SYSTEM GmbH & Co. KG";"Holländische Straße 32 – 36";34246;Vellmar;Germany;DIBt;"ETAG 005 used as EAD";1998/0599/EC
https://www.eota.eu/etassessments/4559;03/0026;1;25/04/2017;"Roof waterproofing ""KEMPEROL BR""";"Liquid applied waterproofing used as an EAD";"KEMPER SYSTEM GmbH & Co. KG";"Holländische Straße 32 – 36";34246;Vellmar;Germany;DIBt;"ETAG 005 used as EAD";1998/0599/EC
https://www.eota.eu/etassessments/328;03/0032;1;26/08/2015;"Hilti HVZ / HVZ R / HVZ HCR";"Metal anchors for use in concrete used as an EAD";"HILTI Corporation";"Feldkircherstrasse 100";9494;Schaan;Liechtenstein;DIBt;"ETAG 001 used as EAD";1996/0582/EC;1
https://www.eota.eu/etassessments/12672;03/0036;2;28/01/2021;"SUSPA/DSI – Unbonded Monostrand System with 1 to 5 Monostrands";"Post-tensioning systems for pre-stressing of structures";"DYWIDAG-Systems International GmbH";"Neuhofweg 5";85716;Unterschleissheim;Germany;OIB;"EAD 160004-00-0301";1998/0456/EC;1+
https://www.eota.eu/etassessments/1139;03/0037;1;31/08/2014;"StoTherm Vario 5";"External Thermal Composite Systems with rendering";"Sto SE & Co. KGaA 2";"Ehrenbachstrasse 1";D-79780;Stühlingen;Germany;OIB;"ETAG 004 used as EAD";1997/0556/EC;1
https://www.eota.eu/etassessments/1651;03/0038;1;15/03/2014;"Sikasil SG-500";"Structural Sealant Glazing Systems used as an EAD";"Sika Services AG";"Tüffenwies 16";CH-8048;Zürich;Switzerland;DIBt;"ETAG 002 used as EAD";1996/0582/EC
https://www.eota.eu/etassessments/6512;03/0039;1;04/06/2018;KÖCO-Kopfbolzen;"Steel plate with cast-in anchor";"Köster & Co. GmbH";"Spreeler Weg 32";58256;Ennepetal;Germany;DIBt;"EAD 330084-00-0601";1996/0582/EC;1
https://www.eota.eu/etassessments/10990;03/0041;2;15/05/2020;"Nelson Headed Studs";"Steel plate with cast-in anchor";"Stanley Engineered Fastening Avdel UK Ltd.";"43 Hardwick, Grange";"WA1 4RF";Warrington;"United Kingdom";DIBt;"EAD 330084-00-0601";1996/0582/EC;1
https://www.eota.eu/etassessments/16064;03/0044;2;06/02/2023;"Roof waterproofing ""KEMPEROL 2K-PUR"" , Roof waterproofing ""KEMPEROL 2C""";"Liquid applied roof waterproofing kits";"KEMPER SYSTEM GmbH & Co. KG";"Holländische Straße 32 – 36";34246;Vellmar;Germany;DIBt;"EAD 030350-00-0402";1998/0599/EC
https://www.eota.eu/etassessments/5240;03/0049;1;25/05/2017;"Composite waterproofing ""WILOTEKT-PLUS""";"Composite roof waterproofing kit";"Bausysteme vertriebsgesellschaft mbH";"Kirchplatz 1";6370;Kitzbühel;Austria;DIBt;"EAD 030065-00-0402";1998/0599/EC;3
https://www.eota.eu/etassessments/17524;03/0050;4;13/12/2023;"fermacell Fibre gypsum boards - ""fermacell Gipsfaser-Platte"", ""fermacell Vapor"", fermacell Gipsfaser-Platte greenline""";"Expanded glass boards with fibrous reinforcement for sheathing and lining of building elements";"James Hardie Europe GmbH";"Bennigsen-Platz 1";D-40474;Düsseldorf;Germany;DIBt;"EAD 070006-00-0504";1995/0467/EC;3
https://www.eota.eu/etassessments/7906;03/0052;1;05/09/2018;"Decothane Roof Waterproofing Systems";"Liquid Applied Roof Waterproofing Kits used as an EAD";"Sika Limited";"Watchmead,Welwyn Garden City,";"AL7 1BQ,";Hertfordshire,;"United Kingdom";"BBA (former TAB)";"ETAG 005 used as EAD";1998/0599/EC;3
https://www.eota.eu/etassessments/3124;03/0053;1;19/04/2016;"""FRANKOLON Thix"", ""FRANKOLON TexTura""";"Liquid Applied Roof Waterproofing Kits used as an EAD";"FRANKEN-Systems GmbH";"Wörthstraße 9";97318;Kitzingen;Germany;DIBt;"ETAG 005 used as EAD";1998/0599/EC
