URL;"ETA Number";Version;"Date of issue";"Trade Name";"Generic type and use";"Holder of assesment";"Holder Address";"Holder Postal Code";"Holder City";"Holder Country";"Issuing TAB";"Reference number";"EU Decisioin number(OJEU)";System
https://www.eota.eu/etassessments/8102;08/0238;1;22/10/2018;"Schilliger Grossformatplatte GFP/Crosslam";"Solid wood slab element to be used as a structural element in buildings";"Schilliger Holz-Industrie AG";"Haltikon 33";"CH 6403";Kuessnacht;Switzerland;Eurofins;"EAD 130005-00-0304";1997/0176/EC;1
https://www.eota.eu/etassessments/7967;08/0264;2;10/01/2024;"GH Connectors: Joist Hangers, Cantilever Brackets, Truss clips and Hinge Connectors";"Three dimensional nailing plates";"GH Baubeschläge GmbH 2";"Austrasse 34";D-73235;"Weilheim / Teck";Germany;ETA-DK;"EAD 130186-00-0603";1997/0638/EC;2+
https://www.eota.eu/etassessments/1413;09/0015;3;05/04/2021;"Gutzeit Joist Hangers Type A and B (Kombi and Innen)";"Three dimensional nailing plates";"Gutzeit Verbindungssysteme GmbH & Co.";"Rudolf-Diesel-Strasse 1";D-58730;"Fröndenberg, Industriegebiet";Germany;ETA-DK;"EAD 130186-00-0603";1997/0638/EC;1
https://www.eota.eu/etassessments/1414;09/0021;1;09/01/2014;"BB Joist Hangers type A, I and Split 2 mm";"Fire Stopping and Sealing Product:• Linear Joint and Gap Seals";"BB Stanz- und Umformtechnik GmbH 2";"Nordhäuser Str. 42";D-06536;Berga;Germany;ETA-DK;"ETAG 026 used as EAD";1997/638/EC;1
https://www.eota.eu/etassessments/11448;09/0036;4;20/04/2023;"MM – crosslam";"Solid wood slab element to be used as a structural element in buildings";"Mayr-Melnhof Holz Holding AG";"Turmgasse 67";8700;Leoben;Austria;OIB;"EAD 130005-00-0304";1997/0176/EC;1
https://www.eota.eu/etassessments/7569;09/0084;1;11/06/2014;"Joma Angle Brackets type 401M, 401U, 402M and 402U with and without a rib and 401M PES and 402M PES.";"Three Dimensional Nailing Plates used as an EAD";"Joma AB";Målskog;"SE-335 91";Gnosjö;Sweden;ETA-DK;"ETAG 015 used as EAD";1997/0638/EC
https://www.eota.eu/etassessments/3611;09/0150;1;16/10/2016;"Lobis BSP";"Solid wood slab element to be used as a structural element in buildings";"Lobis Elements GmbH";"Hauptstrasse 69";39050;Unterinn/Ritten;Italy;OIB;"EAD 130005-00-0304";1997/0176/EC;1
https://www.eota.eu/etassessments/1431;09/0214;2;07/05/2022;"Drüeke & Springob Angle Brackets (type 1111, 1112,1113, 1131, 1132, 1133)";"Three dimensional nailing plates";"Drüeke & Springob GmbH 3";"Bahnstrasse 19";57439;"Attendorn - Kraghammer";Germany;ETA-DK;"EAD 130186-00-0603";1997/0638/EC;1
https://www.eota.eu/etassessments/1432;09/0215;1;01/09/2014;"Drüeke & Springob Cantilever brackets type 3310, 3312, 3313, 3314, 3315, 3316, 3317";"Three-dimensional nailing plate – cantilever brackets";"Drüeke & Springob GmbH 2";"Bahnstrasse 19";57439;"Attendorn - Kraghammer";Germany;ETA-DK;"ETAG 015 used as EAD";97/638/EC;1
https://www.eota.eu/etassessments/1438;09/0216;2;07/05/2022;"Drüeke & Springob Various Angle Brackets 1130,1134, 1135, 1136, 1137, 1138, 1139, 1210, 1211, 1212,1213.2, 1214, 1215, 1219, 1220, 1221, 1222, 1226, 1227, 1228, 1229, 1230, 1231, 1232, 1233, 1234, 12351227, 1228, 1229, 1230, 1231, 1232, 1233, 1234, 1235";"Three dimensional nailing plates";"Drüeke & Springob GmbH";"Bahnstrasse 19";57439;"Attendorn - Kraghammer";Germany;ETA-DK;"EAD 130186-00-0603";1997/0638/EC
